11016

10879/-0.96,8271/1,7411/1,7355/-0.53,4207/1,3775/1,3725/0.22,301/1,129/1,
10859/0.04,10813/1,9181/1,7439/1,7392/1,7349/-0.16,7304/1,5777/1,3943/1,3769/1,3740/-0.85,3695/1,2761/1,911/1,142/1,
11007/0.54,10995/0.68,10982/0.82,10952/-0.01,10930/0.06,10911/0.26,10866/0.42,10814/1,9196/1,7739/1,7394/1,7389/2.30,7337/1,7228/1,3802/1,3743/1.07,3698/1,2932/1,1086/1,145/1,114/0.29,95/0.47,70/0.74,49/0.38,24/0.23,9/0.53,
11005/0.27,10994/0.56,10979/0.47,10957/0.27,10942/0.69,10923/0.86,10860/0.09,10813/1,9183/1,7481/1,7392/1,7360/0.78,7313/1,6210/1,4473/1,3784/1,3733/0.58,3688/1,2498/1,650/1,137/1,112/0.15,98/0.79,73/0.97,43/0.11,24/0.21,3/0.16,
11008/0.57,10994/0.61,10979/0.54,10954/-0.08,10936/0.43,10917/0.60,10877/-0.89,10830/1,9878/1,8184/1,7409/1,7353/-0.40,7306/1,5867/1,4129/1,3777/1,3722/0.00,3675/1,1930/1,175/1,128/1,114/0.33,96/0.55,69/0.64,55/0.69,36/0.77,11/0.56,

10877/-0.91,8184/1,7409/1,7347/-0.07,3863/1,3771/1,3722/0.04,176/1,129/1,
10870/0.63,10815/1,9286/1,7909/1,7396/1,7355/-0.47,7308/1,5954/1,4211/1,3777/1,3742/-0.96,3685/1,2351/1,973/1,131/1,
11007/0.52,10991/0.29,10979/0.47,10952/-0.03,10929/0.01,10920/-0.71,10864/0.31,10817/1,9357/1,7661/1,7396/1,7349/-0.20,7302/1,5690/1,3951/1,3773/1,3742/-1.01,3695/1,2765/1,1007/1,148/1,114/0.27,91/0.08,70/0.72,42/-0.04,39/-0.88,1/0.11,
11002/0.04,10989/0.05,10975/0.11,10957/0.28,10933/-0.19,10926/-0.99,10866/0.36,10817/1,9361/1,7743/1,7396/1,7347/-0.15,7300/1,5601/1,3863/1,3771/1,3742/-1.00,3695/1,2765/1,1007/1,148/1,112/0.08,90/0.04,73/1.00,51/0.49,25/-0.20,8/-0.35,
11003/0.08,10989/0.09,10975/0.05,10957/0.29,10933/-0.18,10926/-0.99,10859/0.04,10812/1,9138/1,7440/1,7393/1,7355/-0.54,7306/1,5871/1,4223/1,3783/1,3740/-0.89,3693/1,2678/1,923/1,148/1,112/0.09,90/0.04,73/0.99,45/0.18,24/0.23,8/-0.45,
11004/0.22,10991/0.27,10977/0.32,10957/0.33,10931/-0.09,10926/-0.99,10868/0.49,10823/1,9618/1,7829/1,7398/1,7350/0.33,7299/1,5606/1,4041/1,3776/1,3740/-0.92,3697/1,2843/1,919/1,146/1,113/0.16,91/0.08,74/1.07,42/0.01,25/-0.25,8/-0.38,
11004/0.24,10991/0.29,10977/0.34,10959/0.37,10930/0.06,10926/-0.98,10866/0.36,10819/1,9447/1,7743/1,7396/1,7345/-0.04,7299/1,5596/1,3815/1,3769/1,3734/-0.56,3695/1,2749/1,677/1,150/1,113/0.19,91/0.09,74/1.07,42/-0.01,27/-0.31,6/-0.34,
11004/0.18,10990/0.16,10976/0.23,10959/0.42,10930/0.12,10926/-0.96,10870/0.58,10821/1,9538/1,7913/1,7398/1,7346/0.11,7299/1,5598/1,3860/1,3770/1,3746/-1.18,3695/1,2773/1,1167/1,144/1,113/0.21,90/0.04,73/0.98,43/0.07,27/-0.32,6/-0.28,
11004/0.19,10989/0.14,10977/0.26,10959/0.45,10930/0.10,10924/-0.94,10866/0.44,10821/1,9530/1,7743/1,7396/1,7346/0.15,7299/1,5598/1,3862/1,3771/1,3746/-1.23,3699/1,2939/1,1171/1,146/1,113/0.24,90/0.03,72/0.95,45/0.23,29/-0.38,4/-0.24,
11004/0.18,10989/0.14,10977/0.32,10959/0.43,10930/0.07,10924/-0.91,10864/0.34,10819/1,9443/1,7665/1,7398/1,7346/0.05,7299/1,5598/1,3860/1,3770/1,3746/-1.23,3697/1,2854/1,1171/1,146/1,113/0.22,90/0.02,72/0.93,43/0.14,25/-0.22,6/-0.32,
